AM12131	GB19579
AM12169	GB19618
AM12213	GB19664
AM12275	GB19728
AM12285	GB19738
AM12291	GB19744
AM12307	GB19760
AM12311	GB19764
AM12406	GB19859
AM12465	GB19918
AM12473	GB19926
AM12476	GB19929
AM12495	GB19948
AM12498	GB19951
AM12504	GB19957
AM12529	GB19982
AM12532	GB19985
AM12642	GB20094
AM12659	GB20112
AM12671	GB20124
AM12678	GB20131
AM12690	GB20143
AM12724	GB30164
AM12725	GB30113
AM12807	GB30015
AM05849	GB13241
AM10071	GB17500
AM02653	GB10025
AM06801	GB14202
AM07242	GB14645
AM09736	GB17161
AM03743	GB11119
AM04123	GB11503
AM04168	GB11548
AM04993	GB12375
AM05381	GB12766
AM05393	GB12778
AM05536	GB12924
AM05807	GB13199
AM06612	GB14012
AM07444	GB14849
AM07791	GB15202
AM08024	GB15437
AM08136	GB15551
AM08991	GB16412
AM09984	GB17412
AM11858	GB19305
AM12739	GB30204
AM02697	GB10069
AM03059	GB10431
AM03300	GB30202
AM03567	GB10942
AM03653	GB11029
AM04837	GB12218
AM04851	GB12231
AM05012	GB12394
AM05066	GB12449
AM05267	GB12652
AM06239	GB13641
AM06348	GB13749
AM06420	GB13821
AM07034	GB14436
AM07876	GB15286
AM09183	GB16605
AM09466	GB16889
AM09709	GB17134
AM10334	GB17761
AM10361	GB17789
AM10759	GB18192
AM10806	GB30102
AM10810	GB18244
AM11182	GB18621
AM11480	GB18923
AM11839	GB19285
AM11917	GB19364
AM12323	GB19776
AM12738	GB30203
AM02695	GB10067
AM02973	GB10343
AM03041	GB10413
AM03384	GB10759
AM03624	GB11000
AM04506	GB11888
AM04994	GB12376
AM05549	GB30329
AM05592	GB12981
AM05837	GB13229
AM06455	GB13856
AM06649	GB14050
AM06855	GB14256
AM07062	GB14464
AM07368	GB14773
AM07709	GB15119
AM08408	GB15826
AM08681	GB16101
AM08771	GB16194
AM08773	GB16196
AM08935	GB16355
AM09243	GB16665
AM09357	GB16780
AM09499	GB16922
AM09667	GB17092
AM09953	GB17380
AM10373	GB17801
AM10789	GB18223
AM10816	GB18251
AM10943	GB18380
AM12207	GB19658
AM12271	GB19724
AM12492	GB19945
AM02723	GB10095
AM02744	GB10116
AM02959	GB10329
AM03139	GB10512
AM03148	GB10521
AM03209	GB10582
AM03226	GB10599
AM03508	GB10883
AM03575	GB10951
AM03790	GB11166
AM03920	GB11297
AM04095	GB11474
AM04211	GB11591
AM04559	GB11942
AM04561	GB11944
AM04799	GB12178
AM04813	GB12192
AM04854	GB12234
AM05004	GB12386
AM05490	GB12877
AM05525	GB12913
AM05633	GB13023
AM05831	GB13223
AM06782	GB14183
AM07576	GB14985
AM07589	GB14998
AM07852	GB15263
AM07869	GB15280
AM08180	GB15596
AM08427	GB15845
AM08474	GB15893
AM08703	GB16123
AM08706	GB16126
AM09057	GB16478
AM09100	GB16521
AM09168	GB16589
AM09515	GB16938
AM09550	GB16973
AM09584	GB17008
AM09863	GB17288
AM09904	GB17329
AM10285	GB17712
AM10288	GB17715
AM10451	GB17880
AM10592	GB18019
AM10614	GB18041
AM10754	GB18187
AM10958	GB18395
AM10982	GB18419
AM11041	GB18479
AM11126	GB18566
AM11154	GB18593
AM11294	GB18733
AM11622	GB30071
AM11724	GB19170
AM12310	GB19763
AM12737	GB30513
AM12821	GB20150
AM00194	GB30246
AM00267	GB30450
AM00268	GB30451
AM00269	GB30175
AM00270	GB30452
AM00271	GB30174
AM00308	GB30280
AM00309	GB18464
AM00312	GB30282
AM00331	GB30333
AM00862R	GB14143
AM02368	GB30412
AM02655	GB10027
AM02685	GB10057
AM02739	GB10111
AM02747	GB10119
AM02770	GB10142
AM02780	GB10152
AM02827	GB10200
AM02852	GB10225
AM02875	GB10248
AM02977	GB10347
AM02984	GB10354
AM03002	GB10373
AM03043	GB10415
AM03077	GB10449
AM03087	GB10459
AM03121	GB10494
AM03154	GB10527
AM03179	GB10552
AM03191	GB10564
AM03205	GB10578
AM03250	GB10624
AM03259	GB10633
AM03264	GB10638
AM03265	GB10639
AM03339	GB10714
AM03429	GB10804
AM03462	GB10837
AM03478	GB10853
AM03585	GB10962
AM03613	GB10990
AM03720	GB11096
AM03729	GB11105
AM03740	GB11116
AM03762	GB11138
AM03788	GB11164
AM03804	GB11180
AM03852	GB11229
AM03937	GB11314
AM04023	GB11402
AM04068	GB11447
AM04195	GB11575
AM04202	GB11582
AM04226	GB11606
AM04242	GB11622
AM04274	GB11654
AM04337	GB11718
AM04355	GB11736
AM04394	GB11775
AM04457	GB11838
AM04460	GB11841
AM04479	GB11860
AM04543	GB11926
AM04630	GB12013
AM04678	GB12061
AM04808	GB12187
AM04831	GB12211
AM04835	GB12216
AM04875	GB12255
AM04905	GB12286
AM05011	GB12393
AM05092	GB12475
AM05107	GB12490
AM05157	GB12541
AM05169	GB12554
AM05197	GB12581
AM05222	GB12606
AM05226	GB12610
AM05231	GB12615
AM05241	GB12625
AM05302	GB12687
AM05357	GB12742
AM05417	GB12802
AM05575	GB12962
AM05579	GB12966
AM05600	GB12989
AM05623	GB13012
AM05631	GB13020
AM05689	GB13081
AM05703	GB13095
AM05739	GB13131
AM05786	GB13177
AM05912	GB13306
AM05962	GB13359
AM06005	GB13402
AM06035	GB13431
AM06084	GB13481
AM06106	GB13504
AM06142	GB13541
AM06227	GB13628
AM06248	GB13650
AM06289	GB13691
AM06291	GB13693
AM06292	GB13694
AM06337	GB13739
AM06349	GB13750
AM06386	GB13787
AM06424	GB13825
AM06517	GB13919
AM06549	GB13951
AM06576	GB13978
AM06602	GB14004
AM06722	GB14122
AM06764	GB14164
AM06820	GB14221
AM06831	GB30166
AM06848	GB14249
AM06856	GB14257
AM06865	GB14266
AM06880	GB14280
AM06889	GB14289
AM06945	GB14347
AM06965	GB14367
AM07016	GB14418
AM07091	GB14493
AM07117	GB14519
AM07165	GB14568
AM07201	GB14604
AM07219	GB14622
AM07258	GB14661
AM07269	GB14672
AM07308	GB14711
AM07310	GB19867
AM07313	GB14716
AM07325	GB14728
AM07385	GB14790
AM07426	GB14831
AM07467	GB14873
AM07475	GB14881
AM07504	GB14912
AM07508	GB14917
AM07598	GB15007
AM07612	GB15021
AM07613	GB15022
AM07637	GB15046
AM07667	GB15076
AM07775	GB15186
AM07799	GB15210
AM07811	GB15222
AM07839	GB15250
AM07843	GB15254
AM07926	GB15338
AM07933	GB15345
AM07934	GB15346
AM07936	GB15348
AM07948	GB15360
AM07954	GB15366
AM08006	GB15419
AM08007	GB15420
AM08041	GB15454
AM08046	GB15459
AM08094	GB15509
AM08095	GB15510
AM08099	GB15514
AM08106	GB15521
AM08216	GB15632
AM08390	GB30034
AM08417	GB15835
AM08472	GB15891
AM08585	GB16004
AM08643	GB16062
AM08683	GB16103
AM08748	GB16170
AM08758	GB16181
AM08817	GB16237
AM08927	GB16347
AM08995	GB16416
AM09036	GB16457
AM09060	GB16481
AM09144	GB16564
AM09176	GB16598
AM09185	GB16607
AM09226	GB16648
AM09397	GB16819
AM09399	GB16821
AM09429	GB16851
AM09432	GB16854
AM09481	GB16904
AM09498	GB16921
AM09576	GB17000
AM09610	GB17033
AM09654	GB30070
AM09723	GB17148
AM09726	GB17151
AM09788	GB17213
AM09806	GB17231
AM09809	GB17234
AM09851	GB17276
AM09873	GB17298
AM09882	GB17307
AM09893	GB17318
AM09915	GB17340
AM09925	GB17350
AM09935	GB17362
AM09989	GB17417
AM10060	GB17489
AM10087	GB17516
AM10132	GB17560
AM10171	GB17600
AM10225	GB17651
AM10241	GB17667
AM10257	GB30331
AM10392	NULL
AM10409	GB17838
AM10491	GB17920
AM10600	GB18027
AM10654	GB18084
AM10671	GB18101
AM10702	GB18134
AM10838	GB18273
AM10859	GB18294
AM10863	GB18298
AM10893	GB18329
AM10904	GB18340
AM10907	GB18343
AM11086	GB18524
AM11120	GB18560
AM11254	GB18693
AM11262	GB18701
AM11354	GB18796
AM11381	GB18823
AM11400	GB18843
AM11419	GB18862
AM11423	GB18866
AM11442	GB18885
AM11463	GB18906
AM11503	GB18947
AM11526	GB18970
AM11600	GB19045
AM11847	GB19294
AM11892	GB19339
AM11893	GB19340
AM11938	GB19385
AM11960	GB19408
AM11996	GB19445
AM11998	GB19447
AM12002	GB19451
AM12015	GB19463
AM12042	GB19490
AM12124	GB19572
AM12177	GB19626
AM12191	GB19640
AM12192	GB19641
AM12247	GB19700
AM12429	GB19882
AM12434	GB19887
AM12481	GB19934
AM12484	GB19937
AM12545	GB19998
AM12570	GB20023
AM12621	GB20073
AM12682	GB20135
AM12722	GB12344
AM12800	GB14752
AM12820	GB20107
AM00017	GB30209
AM03986	GB11364
AM03987	GB11364
AM06513	GB30197
AM07932	GB15344
AM10245	GB30197
AM00156	GB30209
AM00175	GB30504
AM12768	GB30101
AM00004	GB30209
AM00005	GB30209
AM00006	GB30209
AM00007	GB30209
AM00008	GB30209
AM00010	GB30209
AM00012	GB30209
AM00014	GB30209
AM00016	GB30209
AM00103	GB30209
AM00104	GB30209
AM00112	GB30209
AM00113	GB30209
AM00157	GB30209
AM00158	GB30209
AM03290	GB30234
AM03605	GB10982
AM04277	GB30101
AM05808	GB30205
AM05810	GB30186
AM06609	GB30138
AM06610	GB30138
AM10284	GB30210
AM10497	GB17926
AM10499	GB17926
AM12395	GB30199
AM12907	GB30186
AM00068	NULL
AM00102	GB30100
AM00343	GB14537
AM00645	GB17673
AM01029	NULL
AM01146	NULL
AM01770	NULL
AM01928	NULL
AM01935	NULL
AM02315	NULL
AM02502	NULL
AM02833	GB10206
AM03163	GB30365
AM03896	GB11273
AM04033	GB11412
AM04268	GB30227
AM04285	GB11665
AM04305	GB11685
AM04546	GB11929
AM04586	GB11969
AM04753	GB12132
AM04797	GB12176
AM04803	GB12182
AM04959	GB12340
AM05294	GB12679
AM05615	GB13004
AM05774	GB13165
AM05905	GB13298
AM05971	GB13368
AM06002	GB13399
AM06220	GB13621
AM06255	GB13657
AM06655	GB14056
AM06860	GB14261
AM06947	GB14349
AM07141	GB14542
AM07274	GB14677
AM07533	GB30137
AM07547	GB14956
AM07906	GB15317
AM08079	GB15494
AM08221	GB15637
AM08350	GB15768
AM08375	GB15793
AM08644	GB16063
AM08740	GB16162
AM08916	GB16336
AM09039	GB16460
AM09051	GB16472
AM09255	GB16676
AM09309	GB16730
AM09525	GB30075
AM09668	GB17093
AM09949	GB17376
AM10006	GB17434
AM10365	GB17793
AM10446	GB17875
AM10751	GB18184
AM10770	GB18204
AM10862	GB18297
AM10865	GB18300
AM10888	GB18323
AM11511	GB18955
AM11780	GB19226
AM11842	GB30289
AM11854	GB19301
AM11936	GB19383
AM11944	GB19391
AM11945	GB30228
AM12003	GB19452
AM12004	GB19453
AM12292	GB19745
AM12508	GB19961
AM12514	GB19967
AM12602	GB20055
AM12694	GB20148
AM12798	GB14562
AM12843	NULL
AM12843R	NULL
AM12844R	NULL
AM12845	NULL
AM12864R	NULL
AM12884R	NULL
AM12886	NULL
AM00099	GB30379
AM00244	GB15899
AM00358	GB13473
AM00360	GB17782
AM00361	GB13473
AM00365R	NULL
AM00409	NULL
AM00437R	NULL
AM00438	NULL
AM00439R	NULL
AM00464	NULL
AM00523	NULL
AM00539	NULL
AM00556	NULL
AM00658R	NULL
AM00659R	NULL
AM00680	NULL
AM00742	NULL
AM00759	NULL
AM00837	GB19666
AM00929	NULL
AM00963R	NULL
AM01009	NULL
AM01017	NULL
AM01055	NULL
